shift_id,people_id,county_id,scheduled_start,scheduled_end
4366,175,9,2026-04-12 07:00:00,2026-04-12 13:00:00
2622,272,2,2026-06-15 07:00:00,2026-06-15 15:00:00
5216,256,4,2026-04-04 07:00:00,2026-04-04 15:00:00
1948,64,2,2026-06-15 10:00:00,2026-06-15 22:00:00
1395,193,1,2026-06-25 07:00:00,2026-06-25 17:00:00
1798,202,6,2026-05-21 09:00:00,2026-05-21 15:00:00
1105,219,6,2026-05-19 10:00:00,2026-05-19 18:00:00
3461,1,5,2026-06-07 09:00:00,2026-06-07 15:00:00
2498,250,10,2026-06-26 08:00:00,2026-06-26 18:00:00
6142,262,7,2026-05-26 08:00:00,2026-05-26 18:00:00
6906,262,4,2026-06-24 10:00:00,2026-06-24 20:00:00
2102,295,5,2026-04-06 08:00:00,2026-04-06 20:00:00
2248,121,1,2026-06-25 07:00:00,2026-06-25 15:00:00
368,87,9,2026-05-05 06:00:00,2026-05-05 12:00:00
4278,12,4,2026-06-05 06:00:00,2026-06-05 12:00:00
830,31,2,2026-05-28 07:00:00,2026-05-28 15:00:00
4127,228,9,2026-05-10 08:00:00,2026-05-10 16:00:00
2152,70,7,2026-06-28 07:00:00,2026-06-28 17:00:00
1023,195,7,2026-04-05 07:00:00,2026-04-05 13:00:00
6394,20,5,2026-06-28 07:00:00,2026-06-28 17:00:00
4877,65,9,2026-04-28 07:00:00,2026-04-28 15:00:00
4121,17,8,2026-05-05 09:00:00,2026-05-05 21:00:00
6084,17,5,2026-04-24 07:00:00,2026-04-24 17:00:00
5179,51,3,2026-05-19 09:00:00,2026-05-19 21:00:00
1441,132,4,2026-05-04 10:00:00,2026-05-04 16:00:00
2020,4,7,2026-04-29 07:00:00,2026-04-29 17:00:00
1957,47,9,2026-05-13 06:00:00,2026-05-13 12:00:00
2099,270,10,2026-06-16 06:00:00,2026-06-16 14:00:00
6055,246,1,2026-05-08 10:00:00,2026-05-08 16:00:00
6213,87,4,2026-05-19 09:00:00,2026-05-19 19:00:00
1090,43,2,2026-05-15 09:00:00,2026-05-15 21:00:00
1351,176,1,2026-06-05 06:00:00,2026-06-05 18:00:00
1501,256,7,2026-05-31 07:00:00,2026-05-31 17:00:00
